,Value
Accuracy,0.8637527381555276
Mean Per Class Accuracy,0.7688212342769423
Mean I/U,0.5471298321219629
Bicyclist,0.40337243891841307
Building,0.6904072096061061
Car,0.6794503990318808
Column_Pole,0.2060830206010503
Fence,0.3761857481303683
Pedestrian,0.3066911215078727
Road,0.8886379057375751
Sidewalk,0.7281447723148323
SignSymbol,0.15651899149402787
Sky,0.8883176780897429
VegetationMisc,0.6946188679097225
